date,asset,open,high,low,close,volume
2026-01-02,AAPL,250.0,253.0,248.0,252.0,45000000
2026-01-05,AAPL,252.0,255.0,251.0,254.0,41000000
2026-01-06,AAPL,254.0,256.0,252.0,253.0,39000000
2026-01-07,AAPL,253.0,257.0,252.0,256.0,42000000
2026-01-08,AAPL,256.0,258.0,254.0,255.0,40000000
2026-01-09,AAPL,255.0,259.0,254.0,258.0,43000000
2026-01-12,AAPL,258.0,260.0,257.0,259.0,38000000
2026-01-13,AAPL,259.0,262.0,258.0,261.0,44000000
2026-01-02,MSFT,420.0,424.0,418.0,423.0,22000000
2026-01-05,MSFT,423.0,426.0,421.0,425.0,21000000
2026-01-06,MSFT,425.0,427.0,422.0,424.0,20500000
2026-01-07,MSFT,424.0,429.0,423.0,428.0,23000000
2026-01-08,MSFT,428.0,430.0,425.0,427.0,21500000
2026-01-09,MSFT,427.0,432.0,426.0,431.0,24000000
2026-01-12,MSFT,431.0,434.0,429.0,433.0,20000000
2026-01-13,MSFT,433.0,436.0,431.0,435.0,22500000
